product_id,slug,decision,reason,payload_keys
7bf83706-2abf-4e07-acd3-2cacfb52b1a8,stella-york-7928,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/Stella York/model-7928/stella-york-trouwjurk-7928_1.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
269b817c-5519-4d54-9a25-68a8740b53f5,stella-york-7675,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/Stella York/model-7675/trouwjurk-stella-york-7675_2.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
04f6ec1a-8ba1-4207-a8c2-ffa4ffa87077,stella-york-7653,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/Stella York/model-7653/trouwjurk-stella-york-7653_1.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
8b8dce0e-137a-4f92-8dc2-a45a852805d1,stella-york-7650,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/Stella York/model-7650/trouwjurk-stella-york-7650_0.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
b88a2f3b-c564-4a14-9124-e8ee5c4243c2,stella-york-7609,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/Stella York/model-7609/trouwjurk-stella-york-7609_0.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
37255456-55fe-47df-a554-17ba20e578f7,stella-york-7568,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/Stella York/model-7568/trouwjurk-stella-york-7568_2.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
cdc9fbbb-8d04-4073-af3b-4c6915a5a8f3,stella-york-7529,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/Stella York/model-7529/trouwjurk-stella-york-7529_1.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
c9a0c368-a22a-4243-aa7a-17778f95cd68,stella-york-7420,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/Stella York/model-7420/trouwjurk-stella-york-7420_1.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
aade679c-c11e-4eae-99c5-e341dc48a9d2,stella-york-7117,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/Stella York/model-7117/stella-york-trouwjurk-7117_1.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
797f4bd3-f01b-43ab-8afa-72bbd0729427,stella-york-2,failed,"OpenAI error 400: {
  ""error"": {
    ""message"": ""Error while downloading https://www.mariagebruidsmode.nl/images/bruid/Stella York/model-2/stella-york-trouwjurk-8036-2_2.webp. Upstream status code: 404."",
    ""type"": ""invalid_request_error"",
    ""param"": ""url"",
    ""code"": ""invalid_value""
  }
}",
